brand,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
mitsubishi,benzin,automatik,150000,pajero,3500,95,2005
ford,diesel,manuell,150000,galaxy,2500,116,2005
opel,diesel,manuell,150000,andere,1500,70,2006
fiat,benzin,manuell,150000,500,1000,60,2005
renault,diesel,manuell,150000,laguna,3000,150,2006
audi,benzin,manuell,20000,a1,15000,95,2015
mercedes_benz,benzin,automatik,150000,sl,20000,218,1980
audi,benzin,manuell,150000,a5,11000,180,2009
opel,benzin,manuell,150000,corsa,1500,75,2005
audi,benzin,manuell,150000,andere,8000,150,2000
smart,diesel,automatik,150000,fortwo,1000,41,2005
nissan,benzin,automatik,150000,primera,1500,115,1995
audi,diesel,manuell,150000,a6,10000,179,2007
toyota,diesel,manuell,150000,corolla,1000,90,2005
audi,benzin,manuell,150000,a3,6000,102,2008
opel,benzin,manuell,125000,astra,8000,140,2013
volkswagen,benzin,manuell,150000,golf,5000,102,2006
kia,benzin,manuell,150000,picanto,1500,60,2005
fiat,benzin,manuell,5000,500,14000,14,1960
mercedes_benz,diesel,automatik,150000,c_klasse,8000,224,2008
bmw,benzin,manuell,150000,1er,7000,122,2012
citroen,benzin,manuell,150000,andere,50,109,2005
nissan,benzin,automatik,125000,micra,1500,60,2000
bmw,diesel,automatik,150000,5er,5000,218,2005
audi,benzin,manuell,100000,a1,10000,86,2014
volkswagen,benzin,manuell,150000,golf,1500,101,2000
volkswagen,diesel,manuell,150000,passat,5000,170,2008
volkswagen,benzin,automatik,100000,golf,12000,160,2013
lexus,hybrid,automatik,125000,andere,20000,184,2014
daewoo,benzin,automatik,100000,evanda,4000,131,2005
peugeot,benzin,manuell,50000,3_reihe,17500,205,2015
audi,diesel,automatik,125000,q5,22500,245,2013
audi,benzin,manuell,150000,s5,10000,354,2008
bmw,diesel,automatik,150000,x_reihe,5000,245,2006
mercedes_benz,diesel,automatik,150000,c_klasse,2500,150,2000
seat,benzin,manuell,150000,ibiza,1500,75,2005
mercedes_benz,benzin,automatik,125000,clk,3500,136,2000
