brand,car_type,color,mileage,model,price,ps,year_of_registration
porsche,suv,grau,150000,cayenne,,340,2005
mercedes_benz,kombi,silber,150000,e_klasse,1500,170,2000
seat,kombi,schwarz,150000,leon,3500,116,2005
ford,kleinwagen,weiss,150000,fiesta,3500,68,2010
peugeot,limousine,,150000,4_reihe,3000,140,2005
bmw,limousine,schwarz,150000,5er,7000,218,2005
volkswagen,kleinwagen,silber,150000,golf,2000,,2000
volkswagen,bus,schwarz,150000,touran,4000,140,2005
fiat,bus,weiss,150000,andere,3500,75,2010
volkswagen,bus,schwarz,150000,touran,2000,101,2005
ford,limousine,silber,80000,fiesta,500,75,2000
audi,kombi,schwarz,150000,a3,9000,125,2011
seat,kleinwagen,andere,100000,ibiza,1000,,2006
ford,limousine,,90000,focus,11000,120,2015
audi,limousine,schwarz,60000,a6,20000,245,2011
volkswagen,bus,schwarz,90000,touran,15000,140,2013
volkswagen,suv,braun,80000,tiguan,20000,140,2015
skoda,kombi,weiss,30000,octavia,27500,230,2015
bmw,limousine,weiss,150000,x_reihe,17500,235,2008
hyundai,limousine,grau,150000,getz,3000,67,2009
audi,coupe,blau,10000,andere,70000,340,2015
volvo,kombi,silber,150000,andere,2000,163,2005
renault,kleinwagen,weiss,20000,andere,6000,11,2012
volkswagen,andere,weiss,150000,caddy,500,64,2000
mercedes_benz,bus,gruen,150000,vito,3000,122,2005
ford,kombi,blau,150000,mondeo,2500,131,2005
volkswagen,kombi,blau,150000,passat,2500,131,2005
opel,kombi,grau,150000,astra,1500,120,2006
nissan,kleinwagen,rot,150000,micra,2500,62,2009
bmw,,,5000,5er,500,,2015
volkswagen,limousine,braun,150000,passat,6000,140,2006
audi,kombi,schwarz,150000,a4,3500,140,2005
mazda,limousine,weiss,150000,3_reihe,2500,150,2010
bmw,limousine,,150000,3er,9000,218,2006
audi,kombi,schwarz,125000,a6,14000,171,2010
audi,kombi,grau,150000,a6,3500,340,2005
toyota,limousine,schwarz,100000,auris,12000,99,2015
mercedes_benz,kombi,grau,150000,c_klasse,4500,150,2005
skoda,kombi,schwarz,150000,octavia,14000,184,2015
ford,kleinwagen,silber,150000,fiesta,1000,,2005
bmw,limousine,grau,150000,3er,1500,150,2000
seat,kleinwagen,grau,150000,ibiza,500,50,2005
bmw,limousine,,5000,3er,3500,193,2005
bmw,,grau,100000,1er,5000,116,2006
mercedes_benz,kleinwagen,gruen,150000,a_klasse,1000,75,2000
volkswagen,kombi,schwarz,20000,passat,40000,220,2015
sonstige_autos,kleinwagen,grau,40000,,4000,5,2006
mini,suv,schwarz,30000,cooper,35000,192,2015
volkswagen,suv,schwarz,5000,touareg,70000,262,2015
volkswagen,kombi,weiss,10000,passat,40000,179,2015
sonstige_autos,kleinwagen,blau,50000,,4000,5,2006
