brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
volkswagen,bus,rot,diesel,manuell,150000,sharan,1500,90,2005
bmw,kombi,schwarz,diesel,manuell,150000,3er,3000,150,2005
mercedes_benz,bus,silber,benzin,manuell,80000,b_klasse,14000,156,2013
volkswagen,limousine,grau,diesel,manuell,100000,golf,12000,110,2014
chrysler,limousine,rot,benzin,automatik,70000,andere,20000,271,1970
volkswagen,bus,blau,diesel,manuell,150000,transporter,11000,140,2010
audi,cabrio,weiss,benzin,automatik,70000,s5,35000,333,2012
skoda,kleinwagen,weiss,benzin,manuell,80000,citigo,4500,60,2014
opel,kombi,schwarz,diesel,manuell,150000,signum,2500,150,2006
peugeot,kleinwagen,gruen,benzin,manuell,150000,1_reihe,1500,45,2000
suzuki,suv,grau,benzin,manuell,150000,grand,5000,140,2006
ford,suv,weiss,benzin,manuell,50000,kuga,17500,150,2015
mini,limousine,beige,benzin,manuell,125000,cooper,7000,120,2008
mercedes_benz,limousine,silber,benzin,automatik,125000,e_klasse,13000,184,2008
bmw,cabrio,silber,benzin,manuell,150000,z_reihe,9000,170,2005
seat,limousine,blau,benzin,manuell,150000,toledo,2000,150,2000
bmw,cabrio,silber,benzin,manuell,150000,z_reihe,10000,192,2005
mercedes_benz,kleinwagen,schwarz,benzin,manuell,150000,c_klasse,2000,129,2005
alfa_romeo,kombi,grau,benzin,manuell,150000,156,1000,166,2005
bmw,kombi,blau,diesel,manuell,150000,3er,8000,197,2007
skoda,kombi,grau,benzin,manuell,90000,octavia,10000,105,2014
bmw,limousine,silber,benzin,manuell,150000,5er,1000,193,2000
mercedes_benz,limousine,grau,benzin,manuell,125000,c_klasse,9000,155,2009
ford,suv,grau,diesel,automatik,50000,kuga,25000,180,2015
skoda,kleinwagen,weiss,benzin,manuell,125000,citigo,4500,75,2013
mercedes_benz,limousine,blau,lpg,automatik,150000,e_klasse,15000,271,2005
bmw,limousine,schwarz,benzin,manuell,150000,3er,3000,105,2005
bmw,limousine,grau,benzin,automatik,125000,3er,9000,218,2006
jaguar,limousine,silber,benzin,automatik,150000,andere,4500,235,2000
alfa_romeo,coupe,silber,benzin,manuell,60000,andere,7000,150,2005
audi,limousine,silber,benzin,manuell,150000,a4,1500,125,2000
volkswagen,limousine,gruen,benzin,manuell,90000,golf,1500,60,2000
opel,limousine,schwarz,benzin,manuell,150000,calibra,500,150,1995
audi,limousine,schwarz,benzin,automatik,90000,a4,17500,211,2012
bmw,coupe,schwarz,benzin,manuell,150000,m_reihe,22500,321,2000
volkswagen,kleinwagen,silber,benzin,manuell,150000,lupo,250,50,2005
volkswagen,kleinwagen,rot,benzin,manuell,150000,golf,3000,54,1990
mercedes_benz,suv,schwarz,diesel,manuell,90000,g_klasse,25000,88,1990
volkswagen,bus,rot,benzin,manuell,125000,transporter,15000,110,1995
mercedes_benz,limousine,silber,benzin,automatik,150000,e_klasse,1000,136,1990
ford,limousine,rot,benzin,manuell,150000,focus,1000,101,2000
ford,limousine,schwarz,benzin,manuell,30000,focus,20000,250,2015
mazda,kombi,blau,benzin,manuell,150000,3_reihe,1000,88,2000
opel,kleinwagen,braun,benzin,manuell,70000,adam,7000,87,2015
volkswagen,limousine,gruen,benzin,automatik,150000,golf,2000,90,1995
opel,kleinwagen,weiss,benzin,manuell,125000,corsa,4500,64,2010
citroen,kleinwagen,silber,benzin,manuell,150000,c2,1000,73,2005
fiat,kleinwagen,schwarz,benzin,manuell,125000,punto,3000,60,2007
ford,bus,blau,benzin,automatik,125000,galaxy,3500,140,2005
volkswagen,kombi,schwarz,diesel,automatik,150000,passat,11000,177,2013
volkswagen,bus,weiss,diesel,manuell,150000,transporter,9000,130,2008
volkswagen,limousine,silber,diesel,manuell,150000,golf,6000,105,2007
bmw,limousine,blau,benzin,automatik,150000,3er,17500,306,2010
audi,limousine,gruen,benzin,manuell,150000,a4,1000,101,2000
bmw,cabrio,blau,benzin,manuell,150000,3er,4500,192,1995
bmw,kombi,schwarz,diesel,manuell,150000,3er,8000,177,2010
mercedes_benz,kombi,silber,diesel,manuell,150000,e_klasse,6000,190,2007
volkswagen,limousine,weiss,diesel,automatik,40000,golf,25000,184,2014
bmw,limousine,silber,benzin,automatik,70000,5er,7000,170,2005
audi,suv,grau,benzin,automatik,70000,q5,22500,221,2013
ford,bus,rot,benzin,manuell,150000,galaxy,3000,150,2005
ford,kombi,silber,benzin,manuell,125000,focus,6000,101,2009
volkswagen,kleinwagen,grau,benzin,manuell,150000,fox,1500,54,2006
opel,cabrio,silber,benzin,manuell,125000,astra,2000,147,2005
hyundai,suv,schwarz,benzin,manuell,125000,tucson,7000,141,2009
ford,coupe,grau,benzin,manuell,150000,focus,500,75,2000
mercedes_benz,coupe,schwarz,diesel,automatik,150000,e_klasse,15000,231,2009
opel,coupe,silber,benzin,manuell,150000,astra,3500,105,2007
bmw,kleinwagen,weiss,benzin,automatik,80000,1er,17500,136,2014
bmw,limousine,grau,benzin,automatik,60000,3er,35000,245,2013
renault,limousine,blau,benzin,manuell,150000,scenic,1000,110,2006
bmw,kombi,silber,benzin,automatik,150000,3er,5000,197,2005
opel,andere,weiss,diesel,manuell,150000,combo,2500,75,2007
volkswagen,kombi,silber,benzin,manuell,90000,golf,11000,122,2011
volkswagen,limousine,schwarz,benzin,automatik,60000,golf,20000,211,2011
renault,kombi,grau,benzin,manuell,80000,clio,4000,75,2009
mercedes_benz,limousine,grau,diesel,automatik,70000,c_klasse,22500,170,2015
volvo,kombi,rot,benzin,manuell,150000,andere,500,115,2000
volkswagen,kombi,weiss,diesel,automatik,125000,touran,7000,140,2008
audi,kombi,weiss,diesel,manuell,125000,a4,10000,120,2011
bmw,kombi,schwarz,benzin,manuell,90000,1er,11000,136,2014
volvo,limousine,blau,benzin,manuell,150000,s80,1500,179,2000
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,polo,1500,60,2005
audi,kombi,schwarz,benzin,manuell,150000,andere,1000,141,2005
renault,kleinwagen,schwarz,benzin,manuell,30000,twingo,5000,75,2014
volkswagen,limousine,schwarz,benzin,manuell,150000,golf,3000,116,2006
volkswagen,bus,blau,diesel,manuell,150000,caddy,7000,75,2011
peugeot,kombi,silber,benzin,manuell,150000,3_reihe,3000,140,2007
ford,kleinwagen,silber,benzin,manuell,150000,fiesta,250,60,2000
ford,kleinwagen,silber,benzin,manuell,150000,fiesta,1000,60,2005
honda,kleinwagen,weiss,benzin,automatik,70000,jazz,8000,99,2012
audi,limousine,blau,diesel,manuell,50000,q3,20000,140,2013
opel,limousine,schwarz,benzin,manuell,125000,astra,3000,103,2005
opel,kombi,silber,benzin,manuell,150000,astra,500,103,2000
