brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
bmw,limousine,schwarz,benzin,automatik,150000,5er,7000,192,2005
smart,kleinwagen,rot,benzin,,125000,fortwo,3500,71,2008
bmw,kombi,grau,diesel,automatik,150000,3er,9000,231,2006
ford,kombi,silber,diesel,manuell,150000,focus,3500,,2008
renault,,,benzin,manuell,150000,twingo,1000,58,2005
volkswagen,cabrio,weiss,benzin,manuell,60000,eos,11000,122,2008
volkswagen,limousine,gruen,benzin,manuell,150000,golf,,75,2000
opel,kleinwagen,weiss,benzin,automatik,125000,corsa,,65,2000
volkswagen,limousine,schwarz,diesel,manuell,150000,golf,3000,140,2005
fiat,andere,weiss,diesel,manuell,150000,doblo,500,68,2005
volkswagen,limousine,silber,diesel,manuell,150000,golf,2000,90,2000
bmw,limousine,blau,diesel,automatik,150000,7er,10000,231,2007
mercedes_benz,limousine,silber,benzin,automatik,125000,a_klasse,3500,102,2005
volkswagen,kleinwagen,gruen,diesel,manuell,150000,lupo,1500,75,2005
peugeot,cabrio,andere,benzin,manuell,125000,3_reihe,2000,120,2000
volkswagen,,schwarz,benzin,,150000,polo,500,50,2000
mercedes_benz,suv,silber,diesel,manuell,150000,m_klasse,30000,258,2012
mercedes_benz,,grau,diesel,automatik,5000,vito,14000,150,2009
porsche,limousine,schwarz,benzin,automatik,50000,andere,90000,441,2015
bmw,kombi,braun,benzin,manuell,50000,2er,22500,136,2015
opel,kleinwagen,blau,benzin,manuell,150000,corsa,1500,75,2005
audi,kombi,silber,benzin,manuell,150000,a4,4500,150,2000
mercedes_benz,cabrio,,benzin,manuell,150000,slk,7000,163,2005
volkswagen,kleinwagen,blau,benzin,manuell,60000,polo,9000,75,2014
volkswagen,bus,grau,diesel,manuell,150000,touran,6000,140,2011
renault,bus,blau,lpg,manuell,150000,scenic,4500,110,2009
smart,kleinwagen,silber,benzin,manuell,50000,forfour,11000,177,2005
renault,kleinwagen,silber,benzin,manuell,5000,twingo,1000,58,2005
bmw,limousine,grau,benzin,automatik,150000,7er,17500,408,2009
mazda,suv,schwarz,diesel,manuell,150000,cx_reihe,5000,173,2011
audi,limousine,weiss,diesel,manuell,125000,q3,17500,140,2014
opel,kleinwagen,weiss,benzin,manuell,125000,corsa,6000,87,2012
mercedes_benz,kombi,schwarz,benzin,manuell,150000,c_klasse,1500,120,2000
ford,kleinwagen,gelb,benzin,manuell,5000,fiesta,1000,75,2000
opel,kleinwagen,blau,benzin,manuell,5000,corsa,1500,,2005
volkswagen,limousine,schwarz,diesel,automatik,150000,passat,10000,140,2010
mercedes_benz,,grau,diesel,automatik,150000,e_klasse,6000,218,2010
bmw,,,benzin,manuell,20000,3er,5000,129,2007
bmw,limousine,grau,benzin,manuell,125000,1er,6000,122,2008
bmw,limousine,silber,benzin,automatik,125000,5er,9000,177,2005
bmw,coupe,blau,benzin,manuell,100000,3er,1000,102,2000
audi,kombi,grau,benzin,manuell,150000,a3,2000,125,2000
opel,kleinwagen,rot,benzin,manuell,5000,corsa,,60,1995
ford,kleinwagen,silber,benzin,manuell,70000,fiesta,3000,60,2006
mercedes_benz,kombi,blau,diesel,automatik,150000,c_klasse,4500,150,2007
opel,limousine,weiss,,automatik,125000,corsa,1000,,1995
bmw,limousine,blau,benzin,manuell,150000,5er,2500,170,2000
audi,limousine,schwarz,diesel,automatik,100000,a6,25000,245,2013
ford,kombi,silber,benzin,manuell,150000,mondeo,500,170,2005
mercedes_benz,kleinwagen,violet,benzin,manuell,150000,a_klasse,250,101,2000
ford,kombi,silber,benzin,manuell,150000,focus,1500,101,2005
volkswagen,limousine,,benzin,automatik,150000,golf,7000,200,2005
mercedes_benz,limousine,schwarz,diesel,automatik,150000,cls,9000,224,2006
smart,kleinwagen,silber,benzin,automatik,90000,fortwo,,61,2006
mercedes_benz,limousine,schwarz,lpg,automatik,150000,s_klasse,4500,224,2005
ford,limousine,,benzin,manuell,150000,focus,1000,101,2005
opel,bus,schwarz,benzin,manuell,150000,zafira,4500,140,2006
audi,coupe,schwarz,diesel,automatik,100000,a5,35000,272,2015
sonstige_autos,,,,,150000,,,,2000
ford,kleinwagen,rot,benzin,manuell,40000,fiesta,1000,39,1985
audi,suv,weiss,benzin,automatik,70000,q5,27500,272,2014
porsche,coupe,silber,benzin,manuell,150000,andere,40000,355,2008
audi,limousine,weiss,hybrid,automatik,10000,a3,27500,150,2015
audi,suv,grau,benzin,automatik,90000,q5,27500,272,2014
mercedes_benz,coupe,weiss,benzin,automatik,150000,cls,15000,292,2008
bmw,limousine,,benzin,manuell,150000,3er,2000,105,2000
nissan,kleinwagen,blau,benzin,manuell,150000,micra,500,55,2000
bmw,cabrio,silber,benzin,manuell,150000,3er,11000,170,2008
bmw,limousine,gruen,benzin,manuell,150000,3er,500,116,2000
volkswagen,coupe,schwarz,benzin,manuell,90000,scirocco,13000,160,2012
skoda,kombi,,benzin,manuell,125000,fabia,2500,75,2005
peugeot,kleinwagen,weiss,diesel,manuell,150000,3_reihe,1000,110,2005
bmw,,,,,5000,3er,,,1990
audi,limousine,blau,benzin,automatik,150000,s8,8000,340,2000
mercedes_benz,coupe,,benzin,manuell,150000,c_klasse,1500,134,2005
ford,kleinwagen,rot,benzin,manuell,125000,fiesta,500,73,1995
volkswagen,,grau,benzin,manuell,5000,golf,,75,2005
toyota,limousine,gruen,benzin,manuell,150000,corolla,1500,97,2000
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,polo,500,60,2005
volkswagen,kleinwagen,blau,benzin,manuell,150000,fox,3000,75,2006
volvo,kombi,schwarz,diesel,automatik,30000,v90,40000,235,2015
sonstige_autos,suv,grau,benzin,automatik,20000,,90000,430,2015
volvo,suv,schwarz,benzin,automatik,20000,xc_reihe,55000,250,2015
bmw,bus,silber,diesel,automatik,50000,2er,20000,190,2015
ford,suv,grau,benzin,automatik,30000,kuga,27500,182,2015
sonstige_autos,suv,schwarz,benzin,automatik,30000,,90000,430,2015
sonstige_autos,limousine,grau,diesel,automatik,20000,,80000,275,2015
sonstige_autos,suv,schwarz,diesel,automatik,20000,,70000,275,2015
sonstige_autos,limousine,schwarz,diesel,automatik,20000,,80000,275,2015
sonstige_autos,suv,schwarz,diesel,automatik,20000,,70000,275,2015
mercedes_benz,cabrio,,benzin,automatik,150000,slk,7000,163,2006
volkswagen,,gruen,,manuell,150000,polo,1000,50,2000
toyota,kombi,schwarz,benzin,manuell,150000,avensis,3500,,2006
bmw,suv,silber,benzin,manuell,10000,x_reihe,30000,140,2015
bmw,cabrio,weiss,benzin,automatik,5000,2er,50000,184,2015
bmw,limousine,blau,benzin,manuell,150000,5er,2000,116,1995
honda,limousine,,benzin,manuell,150000,civic,4500,140,2008
bmw,,braun,,manuell,150000,3er,2500,,2005
mercedes_benz,coupe,gruen,benzin,manuell,150000,clk,1500,143,2000
opel,limousine,,diesel,manuell,150000,insignia,4500,160,2010
volkswagen,cabrio,schwarz,benzin,manuell,150000,golf,1000,75,1995
toyota,suv,,benzin,automatik,150000,rav,5000,150,2005
opel,,grau,,manuell,150000,astra,4000,116,2008
opel,bus,grau,diesel,manuell,150000,zafira,3000,150,2006
mercedes_benz,limousine,silber,diesel,automatik,150000,c_klasse,8000,136,2008
renault,kleinwagen,blau,benzin,manuell,150000,twingo,500,58,2000
audi,kombi,schwarz,benzin,automatik,150000,a4,12000,211,2010
citroen,cabrio,gold,benzin,automatik,150000,c3,3000,73,2009
mercedes_benz,limousine,schwarz,diesel,manuell,150000,c_klasse,11000,137,2010
opel,bus,gruen,benzin,manuell,150000,zafira,1000,116,2000
opel,limousine,grau,diesel,manuell,150000,meriva,7000,,2010
audi,kombi,weiss,diesel,automatik,70000,andere,35000,272,2015
peugeot,cabrio,grau,benzin,manuell,150000,2_reihe,2000,,2005
volkswagen,,blau,benzin,manuell,150000,golf,4500,150,2005
volkswagen,kombi,grau,diesel,automatik,150000,passat,7000,170,2006
toyota,,silber,,automatik,150000,yaris,5000,87,2007
sonstige_autos,suv,silber,benzin,automatik,60000,,8000,306,2000
opel,kombi,schwarz,diesel,manuell,150000,astra,7000,165,2011
nissan,limousine,silber,benzin,manuell,100000,andere,3000,140,2005
mercedes_benz,,,benzin,automatik,150000,cl,2500,163,2005
mercedes_benz,cabrio,schwarz,,manuell,150000,a_klasse,1500,95,2000
renault,bus,silber,diesel,automatik,150000,andere,1000,150,2006
fiat,kleinwagen,schwarz,diesel,manuell,150000,andere,2500,75,2006
alfa_romeo,kleinwagen,rot,benzin,manuell,150000,andere,6000,170,2010
citroen,kleinwagen,silber,benzin,manuell,150000,c1,1000,68,2006
opel,coupe,silber,benzin,manuell,150000,calibra,1500,150,1995
